127.0.0.1 - - [30/Sep/2023:23:02:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:02:12 +0530] "GET /Time_Table_management/ HTTP/1.1" 200 5373
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:02:13 +0530] "GET /Time_Table_management/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:02:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:02:17 +0530] "GET /Time_Table_management/login.jsp HTTP/1.1" 200 8512
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:02:18 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:02:18 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:02:18 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:03:28 +0530] "POST /Time_Table_management/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:03:28 +0530] "GET /Time_Table_management/Faculty_page.jsp HTTP/1.1" 200 8294
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:03:28 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:03:28 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:03:28 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:03:32 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4072
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:09 +0530] "GET /Time_Table_management/LogOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:09 +0530] "GET /Time_Table_management/login.jsp HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:09 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:09 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:09 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:19 +0530] "POST /Time_Table_management/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:19 +0530] "GET /Time_Table_management/Admin_page.jsp HTTP/1.1" 200 3640
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:19 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:19 +0530] "GET /Time_Table_management/admin_page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:25 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:32 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15279
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:32 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:32 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:07:32 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:08:36 +0530] "POST /Time_Table_management/Admin_Servlet_Faculty HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:08:36 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15505
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:08:36 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:08:36 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:08:36 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:09:05 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15279
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:09:05 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:09:05 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:09:05 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:09:32 +0530] "POST /Time_Table_management/Admin_Servlet_Faculty HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:09:32 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15505
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:09:32 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:09:32 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:09:32 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:09:38 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15279
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:09:38 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:09:38 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:09:38 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:10:30 +0530] "POST /Time_Table_management/Admin_Servlet_Faculty HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:10:30 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15505
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:10:30 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:10:30 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:10:30 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:18 +0530] "POST /Time_Table_management/Admin_Servlet_Faculty HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:18 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15505
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:18 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:18 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:18 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:22 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15279
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:22 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:22 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:22 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:57 +0530] "POST /Time_Table_management/Admin_Servlet_Faculty HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:57 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15505
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:57 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:57 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:11:57 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:12:41 +0530] "POST /Time_Table_management/Admin_Servlet_Faculty HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:12:41 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15505
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:12:41 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:12:41 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:12:41 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:13:18 +0530] "POST /Time_Table_management/Admin_Servlet_Faculty HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:13:18 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15505
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:13:18 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:13:18 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:13:18 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:13:56 +0530] "POST /Time_Table_management/Admin_Servlet_Faculty HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:13:56 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15505
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:13:56 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:13:56 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:13:56 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:14:05 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15279
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:14:05 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Sep/2023:23:14:05 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
