127.0.0.1 - - [20/Sep/2023:08:26:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:26:33 +0530] "GET /Time_Table_management/ HTTP/1.1" 200 5373
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:26:35 +0530] "GET /Time_Table_management/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:26:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:31:10 +0530] "GET /Time_Table_management/login.jsp HTTP/1.1" 200 8501
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:31:10 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:31:10 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:31:11 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:31:20 +0530] "POST /Time_Table_management/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:31:20 +0530] "GET /Time_Table_management/Admin_page.jsp HTTP/1.1" 200 3631
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:31:20 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:31:20 +0530] "GET /Time_Table_management/admin_page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:31:22 +0530] "GET /Time_Table_management/faculty_allocate_time.jsp HTTP/1.1" 200 17324
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:31:22 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:31:22 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:31:22 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:00:54 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:00:54 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:00:55 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [20/Sep/2023:15:00:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
