127.0.0.1 - - [06/Oct/2023:19:52:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:52:01 +0530] "GET /Time_Table_management/ HTTP/1.1" 200 5373
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:52:02 +0530] "GET /Time_Table_management/index.css HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:52:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:52:11 +0530] "GET /Time_Table_management/login.jsp HTTP/1.1" 200 8512
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:52:11 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:52:11 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:52:11 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:52:47 +0530] "POST /Time_Table_management/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:52:47 +0530] "GET /Time_Table_management/Faculty_page.jsp HTTP/1.1" 200 8294
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:52:47 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:52:47 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:52:47 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:01 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:23 +0530] "GET /Time_Table_management/LogOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:23 +0530] "GET /Time_Table_management/login.jsp HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:23 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:23 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:23 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:34 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15279
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:34 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:34 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:34 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:53 +0530] "POST /Time_Table_management/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:53 +0530] "GET /Time_Table_management/Faculty_page.jsp HTTP/1.1" 200 8294
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:53 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:53 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:53:53 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:04 +0530] "GET /Time_Table_management/Faculty_page.jsp HTTP/1.1" 200 8294
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:04 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:04 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:04 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:11 +0530] "GET /Time_Table_management/LogOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:11 +0530] "GET /Time_Table_management/login.jsp HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:11 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:11 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:11 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:18 +0530] "GET /Time_Table_management/Faculty_page.jsp HTTP/1.1" 500 2903
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:51 +0530] "POST /Time_Table_management/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:51 +0530] "GET /Time_Table_management/Faculty_page.jsp HTTP/1.1" 200 8294
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:51 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:51 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:54:51 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:04 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:17 +0530] "GET /Time_Table_management/LogOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:17 +0530] "GET /Time_Table_management/login.jsp HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:17 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:17 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:17 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:23 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 500 2573
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:41 +0530] "POST /Time_Table_management/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:41 +0530] "GET /Time_Table_management/Admin_page.jsp HTTP/1.1" 200 3640
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:41 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:41 +0530] "GET /Time_Table_management/admin_page.css HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:57 +0530] "GET /Time_Table_management/course_admin.jsp HTTP/1.1" 200 14445
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:57 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:57 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [06/Oct/2023:19:55:57 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
