127.0.0.1 - - [07/Mar/2023:10:30:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:30:57 +0530] "GET /youtube_jsp_program/first.jsp HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:30:57 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:34:53 +0530] "GET /youtube_jsp_program/first.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:08:10 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:08:16 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:08:17 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:08:18 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:08:19 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:08:19 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:08:20 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:19:17 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:19:54 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:19:57 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:19:58 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:19:58 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:22:35 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:22:38 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:22:38 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:24:10 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:24:53 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:27:21 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:27:23 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:27:23 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:27:23 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:29:32 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:29:33 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:29:34 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:30:14 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:30:15 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:30:15 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:30:15 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:30:15 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:30:15 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:30:15 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:30:15 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:30:16 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:30:16 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:30:16 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:30:16 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [07/Mar/2023:11:30:16 +0530] "GET /youtube_jsp_program/page_directive.jsp HTTP/1.1" 200 658
