127.0.0.1 - - [08/Oct/2023:19:05:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Oct/2023:19:05:44 +0530] "GET /food_delivery/ HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [08/Oct/2023:19:05:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Oct/2023:19:06:29 +0530] "GET /food_delivery/home_Food.jsp HTTP/1.1" 200 21332
0:0:0:0:0:0:0:1 - - [08/Oct/2023:19:06:29 +0530] "GET /food_delivery/home_Food_Css.css HTTP/1.1" 200 4740
0:0:0:0:0:0:0:1 - - [08/Oct/2023:19:06:29 +0530] "GET /food_delivery/home_Food_JS.js HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [08/Oct/2023:19:13:47 +0530] "GET /food_delivery/home_Food.jsp HTTP/1.1" 200 21375
0:0:0:0:0:0:0:1 - - [08/Oct/2023:19:14:02 +0530] "GET /food_delivery/home_Food.jsp HTTP/1.1" 200 21375
0:0:0:0:0:0:0:1 - - [08/Oct/2023:19:14:43 +0530] "GET /food_delivery/home_Food.jsp HTTP/1.1" 200 21378
0:0:0:0:0:0:0:1 - - [08/Oct/2023:19:16:11 +0530] "GET /food_delivery/home_Food.jsp HTTP/1.1" 200 21379
0:0:0:0:0:0:0:1 - - [08/Oct/2023:19:16:13 +0530] "GET /food_delivery/home_Food.jsp HTTP/1.1" 200 21379
0:0:0:0:0:0:0:1 - - [08/Oct/2023:19:16:15 +0530] "GET /food_delivery/home_Food.jsp HTTP/1.1" 200 21379
0:0:0:0:0:0:0:1 - - [08/Oct/2023:19:17:25 +0530] "GET /food_delivery/watchVideoHome.jsp HTTP/1.1" 200 3173
