127.0.0.1 - - [09/Oct/2023:12:49:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:49:38 +0530] "GET /Time_Table_management/faculty_allocate_time.jsp HTTP/1.1" 200 17335
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:49:38 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:49:38 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:49:38 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:49:39 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:49:45 +0530] "GET /Time_Table_management/Admin_page.jsp HTTP/1.1" 500 2699
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:49:55 +0530] "GET /Time_Table_management/ HTTP/1.1" 200 5373
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:50:01 +0530] "GET /Time_Table_management/login.jsp HTTP/1.1" 200 8512
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:50:01 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:50:01 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:50:01 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:50:12 +0530] "POST /Time_Table_management/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:50:12 +0530] "GET /Time_Table_management/Admin_page.jsp HTTP/1.1" 200 3640
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:50:12 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:51:51 +0530] "GET /Time_Table_management/LogOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:51:51 +0530] "GET /Time_Table_management/login.jsp HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:51:51 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:51:51 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:51:51 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:51:52 +0530] "GET /Time_Table_management/index.jsp HTTP/1.1" 200 5373
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:53:38 +0530] "GET /Time_Table_management/login.jsp HTTP/1.1" 200 8512
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:53:38 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:53:38 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:53:38 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:02 +0530] "POST /Time_Table_management/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:02 +0530] "GET /Time_Table_management/Admin_page.jsp HTTP/1.1" 200 3640
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:02 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:24 +0530] "GET /Time_Table_management/course_admin.jsp HTTP/1.1" 200 14445
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:24 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:24 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:24 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:43 +0530] "GET /Time_Table_management/syllabus_admin.jsp HTTP/1.1" 200 12495
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:43 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:43 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:43 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:56 +0530] "GET /Time_Table_management/Faculty_admin.jsp HTTP/1.1" 200 15279
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:56 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:56 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:54:56 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:55:19 +0530] "GET /Time_Table_management/time_table_admin.jsp HTTP/1.1" 200 1936
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:55:23 +0530] "GET /Time_Table_management/faculty_allocate_time.jsp HTTP/1.1" 200 17335
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:55:23 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:55:23 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:55:23 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:55:42 +0530] "GET /Time_Table_management/Admin_page.jsp HTTP/1.1" 200 3640
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:55:42 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:55:44 +0530] "GET /Time_Table_management/LogOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:55:44 +0530] "GET /Time_Table_management/login.jsp HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:55:44 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:55:44 +0530] "GET /Time_Table_management/css/NewFile.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Oct/2023:12:55:44 +0530] "GET /Time_Table_management/js/myjs.js HTTP/1.1" 404 791
